Word,walden.txt count,lotus.txt count,walden.txt freq,lotus.txt freq,Log Likelihood
sometimes,89,12,0.00076,0.00011,60.20943
listen,3,58,0.00003,0.00053,60.89368
Flower,1,50,0.00001,0.00045,59.42389
someone,0,46,0.00000,0.00042,59.61830
bottom,55,1,0.00047,0.00001,59.84694
The,408,621,0.00348,0.00562,58.21388
did,132,32,0.00113,0.00029,58.76744
Medicine,0,45,0.00000,0.00041,58.21358
numerous,8,70,0.00007,0.00063,58.41906
delight,4,59,0.00003,0.00053,58.20867
six,19,94,0.00016,0.00085,57.76029
past,18,92,0.00015,0.00083,57.81524
little,112,23,0.00096,0.00021,57.62651
pine,49,0,0.00042,0.00000,57.98841
still,166,51,0.00142,0.00046,56.90859
obeisance,0,44,0.00000,0.00040,56.80978
non,1,48,0.00001,0.00043,56.68617
pure,24,103,0.00020,0.00093,56.83669
almost,52,1,0.00044,0.00001,56.07939
least,60,3,0.00051,0.00003,56.72556
Sound,0,44,0.00000,0.00040,56.80978
single,20,95,0.00017,0.00086,56.67928
tower,0,44,0.00000,0.00040,56.80978
is,1320,906,0.01126,0.00820,55.19168
evening,47,0,0.00040,0.00000,55.41341
span,0,43,0.00000,0.00039,55.40697
eighty,3,53,0.00003,0.00048,54.34138
After,13,78,0.00011,0.00071,54.10999
Treasures,0,42,0.00000,0.00038,54.00517
treasures,4,55,0.00003,0.00050,53.08102
innumerable,1,46,0.00001,0.00042,53.95491
compassion,2,49,0.00002,0.00044,53.27884
cause,11,73,0.00009,0.00066,53.50761
others,30,111,0.00026,0.00101,53.71030
voices,5,58,0.00004,0.00053,53.32314
wishing,4,55,0.00003,0.00050,53.08102
side,84,13,0.00072,0.00012,52.42540
saha,0,41,0.00000,0.00037,52.60444
Sounds,2,48,0.00002,0.00043,51.94923
sun,81,12,0.00069,0.00011,51.83834
over,187,67,0.00160,0.00061,51.63835
suffering,3,51,0.00003,0.00046,51.73782
together,25,100,0.00021,0.00091,51.92708
manner,4,54,0.00003,0.00049,51.80622
green,44,0,0.00038,0.00000,51.55746
them,341,524,0.00291,0.00474,50.80281
Concord,43,0,0.00037,0.00000,50.27404
praise,5,56,0.00004,0.00051,50.82224
the,6938,7322,0.05918,0.06630,49.02231
meditation,2,46,0.00002,0.00042,49.29720
explain,1,43,0.00001,0.00039,49.87131
Bright,2,46,0.00002,0.00042,49.29720
jewel,0,39,0.00000,0.00035,49.80639
employ,2,46,0.00002,0.00042,49.29720
dragons,0,38,0.00000,0.00034,48.40918
Pure,0,38,0.00000,0.00034,48.40918
Sons,1,42,0.00001,0.00038,48.51397
offer,9,64,0.00008,0.00058,48.43411
her,85,15,0.00073,0.00014,48.71151
seven,14,75,0.00012,0.00068,48.42826
nuns,0,37,0.00000,0.00034,47.01325
lion,1,41,0.00001,0.00037,47.15871
supernatural,0,37,0.00000,0.00034,47.01325
human,39,120,0.00033,0.00109,47.68210
within,61,6,0.00052,0.00005,47.14672
disciples,0,37,0.00000,0.00034,47.01325
till,64,7,0.00055,0.00006,47.41063
wild,52,3,0.00044,0.00003,47.18881
fold,0,37,0.00000,0.00034,47.01325
government,52,3,0.00044,0.00003,47.18881
teacher,2,45,0.00002,0.00041,47.97498
life,206,83,0.00176,0.00075,46.63703
sounds,6,55,0.00005,0.00050,46.37516
You,33,108,0.00028,0.00098,46.00331
hour,39,0,0.00033,0.00000,45.15102
